date,open,close,high,low,volume,amount,macdh,boll,boll_ub,boll_lb,close_5_sma,close_10_sma,close_20_sma,rsi_6,rsi_12,cci,wr_10,open_-1_r,high_-1_r,low_-1_r,amount_-1_r,volume_-1_r,close_-1_r,earnrate,rawclose
2010-04-20,0.3,0.3,0.3,0.3,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.4,0.8,0.2,0.2,0.4,0.2,0.2,0.5,1.0051681958804435,3229.914
2010-04-21,0.3,0.3,0.3,0.3,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.4,0.7,0.4,0.5,0.4,0.1,0.1,0.5,1.0162292246790472,3282.333
2010-04-22,0.3,0.3,0.3,0.3,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.4,0.7,0.5,0.4,0.4,0.2,0.2,0.4,0.9905268600108521,3251.239
2010-04-23,0.3,0.3,0.3,0.3,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.4,0.8,0.4,0.4,0.4,0.1,0.1,0.4,0.9957428537243801,3237.3979999999997
2010-04-26,0.3,0.3,0.3,0.3,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.4,0.8,0.4,0.4,0.4,0.2,0.2,0.5,0.9995650828226865,3235.99
2010-04-27,0.3,0.2,0.2,0.3,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.9,0.3,0.4,0.2,0.2,0.2,0.3,0.9754303937898449,3156.4829999999997
2010-04-28,0.2,0.2,0.2,0.3,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.9,0.3,0.3,0.3,0.2,0.2,0.4,0.9974028055909061,3148.285
2010-04-29,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.9,0.4,0.5,0.3,0.2,0.2,0.4,0.9859790330290936,3104.143
2010-04-30,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.8,0.3,0.4,0.3,0.3,0.3,0.5,1.0067967229602501,3125.241
2010-05-04,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.3,0.3,0.3,0.2,0.3,0.3,0.1,0.1,0.3,0.8,0.4,0.4,0.4,0.1,0.1,0.4,0.9908115886102864,3096.525
2010-05-05,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.3,0.3,0.3,0.2,0.3,0.3,0.1,0.1,0.3,0.8,0.4,0.4,0.3,0.2,0.2,0.5,0.999779430167688,3095.842
2010-05-06,0.2,0.2,0.2,0.2,0.0,0.0,0.5,0.3,0.3,0.2,0.2,0.3,0.3,0.1,0.1,0.3,0.9,0.4,0.4,0.3,0.2,0.2,0.3,0.966159771719616,2991.078
2010-05-07,0.2,0.2,0.2,0.2,0.0,0.0,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.0,0.1,0.2,0.9,0.2,0.2,0.2,0.3,0.3,0.3,0.9762396701122472,2920.009
2010-05-10,0.2,0.2,0.2,0.2,0.0,0.0,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.1,0.1,0.3,0.8,0.4,0.4,0.4,0.1,0.1,0.5,1.0068458693106768,2939.9990000000003
2010-05-11,0.2,0.2,0.2,0.2,0.0,0.0,0.5,0.2,0.3,0.2,0.2,0.2,0.2,0.0,0.1,0.3,0.9,0.4,0.5,0.2,0.2,0.2,0.3,0.9590391017139801,2819.574
2010-05-12,0.2,0.2,0.2,0.2,0.0,0.0,0.5,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.8,0.2,0.2,0.3,0.2,0.2,0.5,1.0121589289729582,2853.857
2010-05-13,0.2,0.2,0.2,0.2,0.0,0.0,0.5,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.5,0.5,0.4,0.1,0.1,0.6,1.0212396766901777,2914.472
2010-05-14,0.2,0.2,0.2,0.2,0.0,0.0,0.5,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.7,0.4,0.4,0.4,0.2,0.2,0.4,0.9877806340222175,2878.8590000000004
2010-05-17,0.2,0.1,0.2,0.1,0.0,0.0,0.5,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.9,0.3,0.3,0.1,0.2,0.2,0.2,0.9461956976705007,2723.9640000000004
2010-05-18,0.1,0.2,0.1,0.1,0.0,0.0,0.5,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.7,0.2,0.4,0.4,0.3,0.3,0.6,1.0306487163560163,2807.45
2010-05-19,0.1,0.1,0.2,0.2,0.1,0.0,0.5,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.7,0.5,0.5,0.4,0.2,0.2,0.4,0.993420719870345,2788.9790000000003
2010-05-20,0.1,0.1,0.1,0.2,0.0,0.0,0.5,0.2,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.7,0.4,0.4,0.4,0.1,0.1,0.4,0.9931405005200827,2769.848
2010-05-21,0.1,0.2,0.1,0.1,0.0,0.0,0.5,0.2,0.3,0.1,0.1,0.2,0.2,0.4,0.3,0.4,0.5,0.3,0.4,0.3,0.2,0.2,0.5,1.0145614488592876,2810.1809999999996
2010-05-24,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.2,0.2,0.1,0.2,0.2,0.2,0.6,0.4,0.5,0.2,0.6,0.7,0.6,0.2,0.2,0.6,1.0383889863321971,2918.0609999999997
2010-05-25,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.5,0.4,0.5,0.3,0.4,0.2,0.2,0.3,0.9683803731313361,2825.7929999999997
2010-05-26,0.2,0.2,0.2,0.2,0.1,0.0,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.4,0.5,0.3,0.3,0.4,0.4,0.2,0.2,0.5,1.0088470740779667,2850.7929999999997
2010-05-27,0.2,0.2,0.2,0.2,0.1,0.0,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.1,0.4,0.5,0.3,0.2,0.2,0.6,1.021597148582868,2912.362
2010-05-28,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.4,0.6,0.2,0.5,0.5,0.5,0.2,0.2,0.4,0.9872275493225087,2875.164
2010-05-31,0.2,0.2,0.2,0.2,0.1,0.0,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.3,0.3,0.3,0.2,0.2,0.3,0.9744605872917163,2801.7340000000004
2010-06-01,0.1,0.1,0.1,0.2,0.1,0.0,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.3,0.3,0.3,0.2,0.2,0.4,0.9890906845546366,2771.1690000000003
2010-06-02,0.1,0.1,0.1,0.1,0.1,0.0,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.6,0.4,0.4,0.3,0.1,0.1,0.5,1.0051552251053615,2785.455
2010-06-03,0.1,0.1,0.1,0.2,0.1,0.0,0.6,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.4,0.7,0.5,0.5,0.4,0.2,0.2,0.4,0.9901524167505847,2758.025
2010-06-04,0.1,0.1,0.1,0.1,0.1,0.0,0.6,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.8,0.3,0.4,0.3,0.2,0.2,0.5,1.0046116333245712,2770.744
2010-06-07,0.1,0.1,0.1,0.1,0.0,0.0,0.6,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.9,0.3,0.3,0.3,0.2,0.2,0.4,0.9799288566536641,2715.132
2010-06-08,0.1,0.1,0.1,0.1,0.0,0.0,0.6,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.8,0.4,0.4,0.4,0.1,0.1,0.5,1.0069050049868662,2733.88
2010-06-09,0.1,0.2,0.1,0.1,0.1,0.0,0.6,0.2,0.2,0.2,0.1,0.2,0.2,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.3,0.3,0.6,1.0241641915519335,2799.942
2010-06-10,0.1,0.1,0.1,0.2,0.0,0.0,0.6,0.2,0.2,0.2,0.1,0.1,0.2,0.5,0.4,0.4,0.6,0.5,0.4,0.5,0.1,0.1,0.4,0.9932816465483927,2781.131
2010-06-11,0.1,0.1,0.1,0.2,0.0,0.0,0.6,0.2,0.1,0.2,0.1,0.1,0.2,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.1,0.1,0.5,1.0008640369691324,2783.534
